CustomerID,Age,Gender,Category,ItemPurchased, Amount ,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases,Age group
1,58,Female,Accessories,Handbag, $115.50 ,Autumn,Card,3.5,18,4,51-70
2,40,Male,Mens Clothing,Shirt, $103.43 ,Spring,Card,4.1,13,4,36-50
3,66,Female,Sports,Football, $35.45 ,Spring,Card,3.3,11,3,51-70
4,39,Female,Accessories,Handbag, $153.31 ,Spring,Card,4.4,13,4,36-50
5,23,Female,Home,Curtains, $151.43 ,Winter,Card,4.1,20,10,20-35
6,48,Male,Groceries,Snacks, $36.76 ,Autumn,Card,2.5,14,2,36-50
7,54,Male,Electronics,Mobile Phone," $1,396.16 ",Autumn,Card,4.7,18,4,51-70
8,59,Female,Beauty,Perfume, $35.55 ,Summer,Card,4.6,14,7,51-70
9,51,Male,Electronics,Smart Watch," $2,238.79 ",Spring,Card,4.3,20,5,51-70
10,47,Female,Footwear,Formal Shoes, $225.49 ,Spring,Card,4.7,18,4,36-50
11,32,Male,Mens Clothing,T-Shirt, $120.80 ,Spring,Card,3.2,8,4,20-35
12,31,Female,Accessories,Handbag, $43.69 ,Summer,Card,3.6,8,4,20-35
13,21,Male,Sports,Yoga Mat, $79.46 ,Winter,Cash on Delivery,3.8,16,8,20-35
14,22,Female,Footwear,Sandals, $189.34 ,Summer,Card,2.9,10,5,20-35
15,47,Male,Sports,Dumbbells, $222.40 ,Winter,Card,3.9,12,6,36-50
16,60,Male,Sports,Dumbbells, $217.67 ,Spring,Card,4.6,27,11,51-70
17,54,Female,Footwear,Sneakers, $43.80 ,Spring,Cash on Delivery,2.9,20,5,51-70
18,57,Female,Womens Clothing,Jeans, $137.29 ,Autumn,Card,3.4,22,6,51-70
19,68,Female,Home,Lamp, $105.48 ,Autumn,Card,4.5,14,7,51-70
20,22,Female,Womens Clothing,Skirt, $173.52 ,Summer,Card,3.6,18,4,20-35
21,61,Female,Footwear,Sneakers, $68.69 ,Autumn,Card,4.9,22,6,51-70
22,65,Female,Sports,Dumbbells, $31.21 ,Spring,Cash on Delivery,3.8,14,7,51-70
23,25,Male,Sports,Football, $142.50 ,Autumn,Card,5,13,4,20-35
24,35,Male,Mens Clothing,Jeans, $36.98 ,Summer,Card,4.2,13,4,20-35
25,28,Female,Womens Clothing,Top, $56.59 ,Winter,Card,4.1,26,8,20-35
26,41,Male,Sports,Football, $46.19 ,Winter,Cash on Delivery,3.3,11,3,36-50
27,58,Female,Home,Lamp, $137.60 ,Autumn,Card,3.7,11,3,51-70
28,24,Male,Sports,Yoga Mat, $30.97 ,Autumn,Card,4.4,20,10,20-35
29,50,Female,Sports,Yoga Mat, $178.68 ,Spring,Card,3.7,11,3,36-50
30,69,Male,Sports,Football, $205.78 ,Autumn,Card,2.7,22,6,51-70
31,43,Male,Electronics,Smart Watch," $1,572.49 ",Autumn,Card,3.5,14,7,36-50
32,33,Male,Footwear,Formal Shoes, $172.69 ,Spring,Card,4.6,19,7,20-35
33,58,Female,Beauty,Perfume, $135.40 ,Spring,Card,3.7,9,2,51-70
34,26,Female,Womens Clothing,Dress, $169.72 ,Autumn,Card,3.8,14,2,20-35
35,67,Male,Sports,Football, $238.13 ,Winter,Card,3.3,17,6,51-70
36,32,Female,Womens Clothing,Jeans, $50.20 ,Winter,Cash on Delivery,2.4,12,6,20-35
37,25,Female,Groceries,Rice Pack, $29.20 ,Summer,Cash on Delivery,5,8,4,20-35
38,50,Male,Mens Clothing,Jacket, $183.20 ,Autumn,Card,3.9,8,4,36-50
39,47,Female,Womens Clothing,Jeans, $129.22 ,Winter,Card,3.7,14,7,36-50
40,66,Male,Sports,Yoga Mat, $219.86 ,Spring,Card,4,2,1,51-70
41,20,Female,Beauty,Perfume, $97.24 ,Spring,Card,4.1,19,7,20-35
42,22,Male,Electronics,Laptop," $2,392.70 ",Winter,Card,5,6,3,20-35
43,23,Female,Footwear,Formal Shoes, $115.21 ,Summer,Card,4.2,19,7,20-35
44,66,Male,Electronics,Mobile Phone," $2,260.20 ",Spring,Card,4.6,9,2,51-70
45,53,Female,Accessories,Sunglasses, $164.67 ,Autumn,Card,2.6,14,7,51-70
